uuid,offense_present
164adbde-2b57-4087-accd-5152e0a52b46,0
1659da5d-467a-435f-84d8-96a5b0efae59,0
167276b4-d184-4261-ae6c-558812a85f60,0
16872dcf-9f76-489c-85c3-d3a1307082f1,0
16916c5c-e302-452d-84f8-543d0757d81a,0
16946c8f-a603-4af4-b254-f307b1b50e43,0
16b1d4a4-7557-4ab2-bc0f-9b6edc12a53a,0
16cd2e43-b44e-4198-936c-bdf442469e98,0
16d261a9-3b29-48f3-9b16-680aa4efa415,0
16dcda8e-260b-4cc5-b5b6-5d8b2c50fa41,0
16f4d872-761d-4c00-910f-c89823596c67,0
170122b0-24fd-41ea-9ce1-29fb813c793c,0
17164d21-f65a-49df-bbef-efde85c298ca,0
1718cfb9-e6e5-4865-8f92-17c21fa459cd,0
173d8413-e51c-4823-bf52-87533ff39c56,0
17419e20-ba40-4ccd-ab8d-47e21d80c9c6,0
1741f204-de19-4f9d-ab36-8152974895e1,0
174358c4-35f7-4780-a2b0-40cc09253377,0
1745eb3d-a344-4d30-9a33-680fb19848bc,0
17522fcd-8f8e-4a20-821e-ca8606ff55cd,0
175d20de-c19d-4867-b5fa-53089a265b31,0
175ff5e5-25f8-4a63-91e2-48808d96035d,0
176ffdec-04d4-47e5-92ef-33316d83a8a3,0
177fac0b-b941-4c16-bcbf-f915a1fc42e2,0
178391e6-d683-4ea7-8c84-dd3cfae938f6,0
179d2c47-db07-4bad-a5c7-2f84f8b57b66,0
17be2078-ffef-413a-af02-69fbb8cfbfa6,0
17c06ec6-f7e2-4320-b04e-5ac8f66e56d2,0
17d006da-e130-4dbb-a40c-76950a5ea3c8,0
17d4790a-d2ac-442b-963f-cdd3a4784cf6,0
17d6085a-0622-4766-8d7b-b1054c35e77d,0
17f43b8b-57d0-481d-9e71-ef02e649de21,0
17f878fd-69d3-4a5a-9405-2a9692e49387,0
17fe2265-fbe8-4000-bbb2-117f58877480,0
180a954f-444c-4291-ac36-99fc3c134afe,0
180dc855-c14b-4cdb-9d1c-6bad2bada9c0,0
18205acb-68d5-4772-a22f-d8acd89762bd,0
182154e4-d09a-4497-9ff1-e075d2725f2f,0
183d1951-ad22-4cb3-a4d6-375e83d58446,0
185017f9-93a1-427c-8d86-fab05ebe277f,0
18834497-a67d-42a3-8e1a-1552dea3b450,0
1886d043-f955-4672-84ee-e6b6b88968f1,0
18993f26-e9ea-44aa-b227-eddb267f8fcc,0
189a123d-e05b-4195-a3c2-e43f098da7bf,0
18afccf6-11dc-4150-8d3c-6bd27cb68206,0
18d3f406-3611-4d69-b13e-a4514e83e6ff,0
18d83543-2262-4667-9dbc-aed78ec4ff0d,0
18d83ef5-f2a6-4ba8-ad32-fc69028cd362,0
190f4346-a93a-429d-908b-f98e449856e8,0
1919d947-63fe-44a4-a592-943716249790,0
1923219c-8b39-4590-b0d8-e971b387708f,0
19374650-6ef4-47a6-b5ec-f13db08b105e,0
19538234-9cc6-4d10-8bda-45325a4d0530,0
1964269a-d025-461f-b9b1-02d9231df5ea,0
1965e073-c1c2-4bd3-8b60-ab1493863c87,0
19708428-9ad4-4dd3-8dcd-275b1116d076,0
19945f20-ae9a-451c-b0ce-713496ea3e9d,0
19a66864-19f8-4ee6-ab8c-ecf4bf51596f,0
19d83d0d-34dc-4242-8459-7cb523113ddd,0
19e07eb9-9fff-4f8b-9a4a-a57619baf237,0
19e3d2ac-e176-4f4b-ba87-ea91b9fa734f,0
19ec30e2-174f-44c4-8d96-8d0af0b4c8cc,0
19f1c450-bf98-4e82-80dc-95fe06a088fd,0
1a016b77-fe42-4744-9ae4-154168f27efd,0
1a07d6c4-912c-481f-a736-0b84825e4af0,0
1a0a86d9-bdf5-457e-b9db-eb761bbe6f19,0
1a0b23d7-3356-4b83-af63-8ca7ab8b0689,0
1a15f377-43da-4f74-8802-f5ce76e921f4,0
1a245c20-28cb-4dbc-a0a8-aa5b96d0e0cf,0
1a246ddd-e336-4ecc-8310-477007887919,0
1a3c92b4-6818-4eda-b271-36f008a75e22,0
1a682842-63ec-40ca-ab3e-8eb6c5474d68,0
1a6ff621-39ba-46d2-9029-dd2048fd26ba,0
1a76b3a7-abfc-404d-9afd-190df2a3ae75,0
1a9890d0-f41b-4ec7-b2b6-e898a30f8087,0
1a9de5e3-be79-4b9b-858f-d3bab70e47b8,0
1abbedaf-331f-4f94-bade-646f40ee8c6d,0
1aefecb7-0ec4-4547-991f-4042dea0469b,0
1b0485d2-8ebc-4057-90c0-0e816e92cf3b,0
1b10b974-963f-462b-8a92-0701042f70a9,0
1b15d791-68fb-43cf-a737-7f143779bab1,0
1b1d06a0-8979-4cd2-b942-b578ca3c3b8c,0
1b21f69c-bb99-449a-8abe-3aba48869f02,0
1b24d962-ac9a-4d16-846a-416e4a84fe47,0
1b3a9f8b-3b62-4643-8798-952971bbe9cf,0
1b4e8b44-e100-403c-ab29-960b90521bdc,0
1b709010-f6da-40e1-937f-0c13523ae466,0
1b74838f-f63e-4639-9cfb-d8d06e8c11a6,0
1b801288-8950-48be-be66-0285bbba1283,0
1b9964dc-49af-459d-aee7-f2304c762bf2,0
1b9b359b-bb78-4559-8714-9ed0baf6447e,0
1ba3b729-8bee-4ad8-b5a3-1ab2ac565bf5,0
1ba44c77-9c20-4e6d-a4f7-ab80c6d9b127,0
1bbe26d6-891b-48f8-9e2f-36ca009e9b49,0
1bd1c7c8-a739-40f4-bc65-fa1bec883d93,0
1bd588ab-fb82-47ea-9b66-3bb9c2ad63e9,0
1bddc912-721d-4c5d-b976-4cdad9a746b0,0
1be0fa08-4f61-45e1-8a26-c3ba21b4f37f,0
1be6bff2-4e97-445d-9cc7-d1a7f1e957ce,0
1bedb0a4-9153-41d8-b0d8-ae625484b559,0
1bfa3fdf-5ec4-4f8b-9a76-d6f7e80283ce,0
1bfb6e4d-7ab3-48a4-ad64-e8bdad1764b6,0
1bffa086-36f6-48fd-823a-b6a8b6499cbc,0
1c360da3-4905-4ea2-82ea-87d0c80ea339,0
1c648232-b14c-4910-ac4d-0b9dd4fc48e6,1
1c7d4802-11c7-4a1e-a115-ce85993057c2,0
1c86c9ff-2c6e-4eb0-baa2-bc8451ea335f,0
1c89973e-a8cc-4ebf-920a-e100fc6e84a8,0
1c918f89-79ea-4490-9571-cdca59b24fc2,0
1c99e420-de3c-41b3-aa03-adf3d0a646bf,0
1cccb99b-97d6-4799-9d2a-5c88b34a4e3d,0
1cedbdf8-eeb3-4335-8bde-14fe554646b4,0
1cf537ee-7556-47a8-ac05-aa2f1ca597aa,0
1d00d14d-d526-4312-93bb-3f2164d7b1a5,0
1d0f8fee-4539-4776-a47e-0b60cf9e510e,0
1d210cea-7cac-4096-ab2c-a7d1f8210c50,0
1d21fa05-35d2-4a2e-9c56-81c0848ecfee,0
1d240988-0cfc-481a-ace0-7f10fc3b1a09,0
1d311954-3e6d-4a6b-9030-110bb945da1f,0
1d333d1d-5af0-41d4-9b80-2869ff8c92d6,0
1d37ac43-896c-412d-8e05-f1852b1a69fa,0
1d56f8c4-eaa0-4f06-aadf-d45471246c56,0
1d5cb319-d577-4184-a7f3-71b18cfd953e,0
1d841eef-c5eb-41bd-bfb2-3a1e18a61767,0
1d91597d-703a-4b15-b379-c748773ba20d,0
1dbb7f4f-3da7-49d7-9349-5bfef49b5c2f,0
1dbc015f-a406-4d4f-b6d9-8fbfd7172060,0
1ddb96d8-2174-49f1-a5fa-8450e5cd4a6a,0
1dfd606a-8ac9-4c75-9879-d806f9bc9ac6,0
1e077eeb-0e21-4d3c-9d17-b98d958f99c0,0
1e0c853e-e2a8-4d2f-9cbe-33f228eb2ebc,0
1e0ff599-b3d2-4192-891b-338f64e0110c,0
1e1616a9-234d-4374-bea2-506fa424f4c0,0
1e2ed7a9-0571-402e-8129-40cc34e70af7,0
1e2f2b0c-80f3-4efe-8310-fe8452e913cd,0
1e68ea35-7b29-494d-81b4-f7978df76f59,0
1e69764c-aa08-4089-960f-4e30a7e7c3b5,1
1e860125-ab88-4d02-90d9-51b868c1c9c1,0
1e91b76d-d2ac-4540-aa80-ededb69f922a,0
1e95c05a-3357-4901-98ae-88a0bd1fd577,0
1ea2cbc8-0547-401e-a517-3caa636fdf2f,0
1ea6979f-3796-4372-af8b-0cf5d088d951,0
1eb90c0a-a3fc-4334-818a-72897734e944,0
1eba371c-db27-4afb-b8d6-bf5a4157d3b1,0
1ec416fa-9a6d-4e9c-8107-a9a7e66d80bc,0
1ec8aaee-0131-41c5-a2ec-463ed952def4,0
1ecd01dd-bfc0-4773-b56c-85fead6142e8,0
1ed8c160-01bf-4cd8-8102-81ebafd85414,0
1ee80302-f33e-448e-b4cb-449ff6f43280,0
1ee9b91e-e37c-4ee1-a351-81d99946ac32,1
1eeab894-0299-41f8-8bd1-49e2439f3fb8,0
1eed3e9b-9aff-4673-bf5e-36676b95a1b3,0
1ef231f0-33bd-4fe9-b851-48a6c6703834,0
1ef7a4ea-e8a1-4f7b-9aca-e3ddcadb7687,0
1ef85b5f-1a14-4f1c-acdd-d3aee61a4045,0
1f063fc0-a4a2-4dd2-9d4d-870754be542e,0
1f097cc1-d5e8-4c27-ae9a-05e0f0f081a8,0
1f25f364-5752-4288-8d4d-cc494ad746ed,0
1f27016d-c0c8-4ccc-abfb-5430e5b7f338,0
1f37ae7f-7dee-4cc0-9ba7-b3747555c92e,0
1f3c68b6-b706-44d7-a318-d59df97ff1fa,0
1f3c80a7-89d3-4801-a455-ce00a29163a5,0
1f5785e1-32c6-442f-8f8f-5a01430bc312,0
1f649aab-cf06-4ee1-a52f-c1b01095e2a4,0
